Row ID,Order ID,Ship Date,Order Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name, Sales ,Quantity,Discount, Profit ,Loss Flag,Month Extraction
6049,CA-2019-105571,07/11/2021,11/11/2019,Standard Class,CP-12340,Christine Phan,Corporate,United States,Miami,Florida,33142,South,OFF-BI-10001359,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System," $1,345.49 ",5,70.00%," $-1,031.54 ",Loss,November
5321,US-2021-162558,02/10/2023,05/10/2021,First Class,Dp-13240,Dean percer,Home Office,United States,Knoxville,Tennessee,37918,South,FUR-TA-10000198,Furniture,Tables,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases," $2,314.12 ",7,40.00%," $-1,002.78 ",Loss,October
8994,CA-2021-159100,16/10/2023,21/10/2021,Standard Class,VP-21760,Victoria Pisteka,Corporate,United States,Columbia,Tennessee,38401,South,FUR-TA-10001950,Furniture,Tables,Balt Solid Wood Round Tables," $1,875.26 ",7,40.00%, $-968.88 ,Loss,October
216,CA-2019-146262,02/01/2021,09/01/2019,Standard Class,VW-21775,Victoria Wilson,Corporate,United States,Medina,Ohio,44256,East,TEC-MA-10000864,Technology,Machines,Cisco 9971 IP Video Phone Charcoal," $1,188.00 ",9,70.00%, $-950.40 ,Loss,January
4129,CA-2018-127299,19/09/2020,24/09/2018,Standard Class,JL-15835,John Lee,Consumer,United States,Charlotte,North Carolina,28205,South,TEC-MA-10001127,Technology,Machines,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color"," $2,624.99 ",3,50.00%, $-944.99 ,Loss,September
7642,US-2020-157490,06/10/2022,07/10/2020,First Class,LB-16795,Laurel Beltran,Home Office,United States,Pueblo,Colorado,81001,West,TEC-MA-10001695,Technology,Machines,Zebra GK420t Direct Thermal/Thermal Transfer Printer, $703.71 ,6,70.00%, $-938.28 ,Loss,October
2629,US-2021-165344,13/11/2023,15/11/2021,First Class,SB-20290,Sean Braxton,Corporate,United States,Springfield,Ohio,45503,East,TEC-MA-10002210,Technology,Machines,Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop, $653.00 ,7,70.00%, $-935.96 ,Loss,November
8209,CA-2019-141565,20/09/2021,24/09/2019,Standard Class,BG-11035,Barry Gonzalez,Consumer,United States,Nashville,Tennessee,37211,South,OFF-BI-10000545,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System," $1,369.76 ",6,70.00%, $-913.18 ,Loss,September
8633,CA-2020-107783,28/07/2022,29/07/2020,First Class,OT-18730,Olvera Toch,Consumer,United States,Bethlehem,Pennsylvania,18018,East,OFF-BI-10000545,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System," $1,369.76 ",6,70.00%, $-913.18 ,Loss,July
464,CA-2020-109869,22/04/2022,29/04/2020,Standard Class,TN-21040,Tanja Norvell,Home Office,United States,Phoenix,Arizona,85023,West,FUR-TA-10001889,Furniture,Tables,Bush Advantage Collection Racetrack Conference Table," $1,272.63 ",6,50.00%, $-814.48 ,Loss,April
1370,US-2019-103471,24/12/2021,28/12/2019,Standard Class,JR-15670,Jim Radford,Consumer,United States,Colorado Springs,Colorado,80906,West,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors", $590.06 ,7,70.00%, $-786.74 ,Loss,December
5199,CA-2020-103982,03/03/2022,08/03/2020,Standard Class,AA-10315,Alex Avila,Consumer,United States,Round Rock,Texas,78664,Central,OFF-SU-10000151,Office Supplies,Supplies,High Speed Automatic Electric Letter Opener," $3,930.07 ",3,20.00%, $-786.01 ,Loss,March
1996,US-2021-147221,02/12/2023,04/12/2021,Second Class,JS-16030,Joy Smith,Consumer,United States,Houston,Texas,77036,Central,OFF-AP-10002534,Office Supplies,Appliances,3.6 Cubic Foot Counter Height Office Refrigerator, $294.62 ,5,80.00%, $-766.01 ,Loss,December
870,CA-2020-158099,03/09/2022,05/09/2020,First Class,PK-18910,Paul Knutson,Home Office,United States,Philadelphia,Pennsylvania,19143,East,OFF-BI-10000545,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System," $1,141.47 ",5,70.00%, $-760.98 ,Loss,September
6640,CA-2018-108609,31/10/2020,02/11/2018,Second Class,AJ-10780,Anthony Jacobs,Corporate,United States,Lorain,Ohio,44052,East,FUR-TA-10003954,Furniture,Tables,Hon 94000 Series Round Tables," $1,421.66 ",8,40.00%, $-734.53 ,Loss,November
6263,CA-2020-132479,24/09/2022,26/09/2020,First Class,MK-17905,Michael Kennedy,Corporate,United States,Rockford,Illinois,61107,Central,OFF-BI-10004584,Office Supplies,Binders,GBC ProClick 150 Presentation Binding System, $442.37 ,7,80.00%, $-729.91 ,Loss,September
9232,CA-2018-148383,27/12/2020,31/12/2018,Standard Class,RP-19390,Resi Pölking,Consumer,United States,Phoenix,Arizona,85023,West,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine, $946.76 ,6,70.00%, $-694.29 ,Loss,December
5067,CA-2021-142090,30/11/2023,07/12/2021,Standard Class,SC-20380,Shahid Collister,Consumer,United States,Burlington,North Carolina,27217,South,FUR-TA-10001889,Furniture,Tables,Bush Advantage Collection Racetrack Conference Table," $1,781.68 ",7,40.00%, $-653.28 ,Loss,December
7423,US-2020-114013,13/03/2022,15/03/2020,Second Class,SC-20770,Stewart Carmichael,Corporate,United States,Philadelphia,Pennsylvania,19134,East,TEC-MA-10001148,Technology,Machines,Okidata MB491 Multifunction Printer, $449.10 ,3,70.00%, $-643.71 ,Loss,March
7244,CA-2021-118892,17/08/2023,22/08/2021,Second Class,TP-21415,Tom Prescott,Consumer,United States,Philadelphia,Pennsylvania,19134,East,FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall," $4,416.17 ",9,30.00%, $-630.88 ,Loss,August
950,US-2021-110576,28/11/2023,02/12/2021,Standard Class,RB-19795,Ross Baird,Home Office,United States,Philadelphia,Pennsylvania,19120,East,FUR-TA-10004154,Furniture,Tables,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer"," $2,065.32 ",12,40.00%, $-619.60 ,Loss,December
7647,US-2018-115196,09/09/2020,13/09/2018,Standard Class,DL-12925,Daniel Lacy,Consumer,United States,Greenville,North Carolina,27834,South,TEC-MA-10002073,Technology,Machines,"3D Systems Cube Printer, 2nd Generation, White"," $1,299.99 ",2,50.00%, $-572.00 ,Loss,September
1714,US-2021-124968,08/09/2023,13/09/2021,Second Class,MM-18055,Michelle Moray,Consumer,United States,Chicago,Illinois,60610,Central,FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables, $765.63 ,7,50.00%, $-566.56 ,Loss,September
1682,CA-2018-122882,07/09/2020,13/09/2018,Standard Class,SB-20290,Sean Braxton,Corporate,United States,Philadelphia,Pennsylvania,19134,East,TEC-MA-10004679,Technology,Machines,StarTech.com 10/100 VDSL2 Ethernet Extender Kit, $399.54 ,4,70.00%, $-559.36 ,Loss,September
2359,US-2018-148838,17/03/2020,21/03/2018,Standard Class,CP-12340,Christine Phan,Corporate,United States,New York City,New York,10024,East,FUR-TA-10001950,Furniture,Tables,Balt Solid Wood Round Tables," $1,071.58 ",4,40.00%, $-553.65 ,Loss,March
8927,CA-2020-168032,30/01/2022,03/02/2020,Standard Class,DF-13135,David Flashing,Consumer,United States,Rockford,Illinois,61107,Central,FUR-TA-10004256,Furniture,Tables,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables, $626.10 ,3,50.00%, $-538.45 ,Loss,February
9481,CA-2018-126193,07/09/2020,14/09/2018,Standard Class,SS-20410,Shahid Shariari,Consumer,United States,Oswego,Illinois,60543,Central,OFF-BI-10004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System, $304.99 ,5,80.00%, $-533.73 ,Loss,September
3520,CA-2019-124975,22/06/2021,25/06/2019,First Class,MG-17875,Michael Grace,Home Office,United States,Aurora,Illinois,60505,Central,FUR-TA-10002645,Furniture,Tables,Hon Rectangular Conference Tables, $796.43 ,7,50.00%, $-525.64 ,Loss,June
6036,US-2019-155369,19/04/2021,25/04/2019,Standard Class,PG-18820,Patrick Gardner,Consumer,United States,Carrollton,Texas,75007,Central,OFF-BI-10003925,Office Supplies,Binders,Fellowes PB300 Plastic Comb Binding Machine, $310.39 ,4,80.00%, $-512.15 ,Loss,April
263,US-2018-106992,19/09/2020,21/09/2018,Second Class,SB-20290,Sean Braxton,Corporate,United States,Houston,Texas,77036,Central,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer," $3,059.98 ",3,40.00%, $-510.00 ,Loss,September
8181,CA-2019-119879,21/11/2021,25/11/2019,Standard Class,SS-20410,Shahid Shariari,Consumer,United States,Philadelphia,Pennsylvania,19120,East,FUR-TA-10002958,Furniture,Tables,"Bevis Oval Conference Table, Walnut"," $1,252.70 ",8,40.00%, $-480.20 ,Loss,November
7282,CA-2021-159282,16/10/2023,21/10/2021,Standard Class,GH-14410,Gary Hansen,Home Office,United States,Yuma,Arizona,85364,West,TEC-MA-10001148,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder, $599.99 ,5,70.00%, $-479.99 ,Loss,October
8252,CA-2019-140221,05/03/2021,09/03/2019,Second Class,MS-17365,Maribeth Schnelling,Consumer,United States,Chicago,Illinois,60653,Central,OFF-AP-10000828,Office Supplies,Appliances,Avanti 4.4 Cu. Ft. Refrigerator, $180.98 ,5,80.00%, $-470.55 ,Loss,March
1864,US-2020-100839,13/10/2022,17/10/2020,Standard Class,NC-18625,Noah Childs,Corporate,United States,Aurora,Colorado,80013,West,FUR-TA-10004575,Furniture,Tables,Hon 5100 Series Wood Tables, $727.45 ,5,50.00%, $-465.57 ,Loss,October
7650,CA-2019-101889,27/12/2021,31/12/2019,Standard Class,DB-13120,David Bremer,Corporate,United States,Marion,Ohio,43302,East,FUR-TA-10004154,Furniture,Tables,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer"," $1,548.99 ",9,40.00%, $-464.70 ,Loss,December
4498,CA-2021-155075,02/12/2023,09/12/2021,Standard Class,GW-14605,Giulietta Weimer,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine, $631.18 ,4,70.00%, $-462.86 ,Loss,December
3724,US-2018-169789,30/12/2020,04/01/2019,Standard Class,MF-17665,Maureen Fritzler,Corporate,United States,Phoenix,Arizona,85023,West,OFF-BI-10004600,Office Supplies,Binders,Ibico Ibimaster 300 Manual Binding System, $551.99 ,5,70.00%, $-459.99 ,Loss,January
7349,CA-2018-130421,03/03/2020,07/03/2018,Standard Class,SC-20020,Sam Craven,Consumer,United States,Houston,Texas,77095,Central,OFF-AP-10002534,Office Supplies,Appliances,3.6 Cubic Foot Counter Height Office Refrigerator, $176.77 ,3,80.00%, $-459.61 ,Loss,March
8236,CA-2021-102204,01/05/2023,06/05/2021,Standard Class,CJ-12010,Caroline Jumper,Consumer,United States,Jacksonville,Florida,32216,South,FUR-TA-10001889,Furniture,Tables,Bush Advantage Collection Racetrack Conference Table, $933.26 ,4,45.00%, $-458.15 ,Loss,May
170,CA-2018-139892,08/09/2020,12/09/2018,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,OFF-AP-10002518,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center, $177.98 ,5,80.00%, $-453.85 ,Loss,September
3915,US-2021-142573,18/07/2023,23/07/2021,Standard Class,ML-17410,Maris LaWare,Consumer,United States,Phoenix,Arizona,85023,West,FUR-TA-10001932,Furniture,Tables,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table", $801.60 ,5,50.00%, $-448.90 ,Loss,July
2358,US-2018-148838,17/03/2020,21/03/2018,Standard Class,CP-12340,Christine Phan,Corporate,United States,New York City,New York,10024,East,FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops," $1,579.75 ",7,40.00%, $-447.59 ,Loss,March
5056,CA-2019-141243,03/01/2021,08/01/2019,Second Class,AH-10465,Amy Hunt,Consumer,United States,Dallas,Texas,75217,Central,FUR-BO-10003272,Furniture,Bookcases,O'Sullivan Living Dimensions 5-Shelf Bookcases," $1,352.40 ",9,32.00%, $-437.54 ,Loss,January
1395,US-2021-117247,09/10/2023,14/10/2021,Standard Class,CK-12760,Cyma Kinney,Corporate,United States,Aurora,Illinois,60505,Central,FUR-TA-10002958,Furniture,Tables,"Bevis Oval Conference Table, Walnut", $652.45 ,5,50.00%, $-430.62 ,Loss,October
3317,CA-2021-161739,10/11/2023,15/11/2021,Second Class,EB-13750,Edward Becker,Corporate,United States,Round Rock,Texas,78664,Central,FUR-FU-10001468,Furniture,Furnishings,Tenex Antistatic Computer Chair Mats, $341.96 ,5,60.00%, $-427.45 ,Loss,November
6567,CA-2021-131282,05/02/2023,08/02/2021,Second Class,CB-12025,Cassandra Brandow,Consumer,United States,Waco,Texas,76706,Central,OFF-BI-10004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System, $243.99 ,4,80.00%, $-426.99 ,Loss,February
7345,CA-2021-168389,11/12/2023,17/12/2021,Standard Class,DV-13045,Darrin Van Huff,Corporate,United States,Jacksonville,Florida,32216,South,FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables, $721.88 ,6,45.00%, $-420.00 ,Loss,December
3085,CA-2021-118773,09/02/2023,14/02/2021,Standard Class,TP-21415,Tom Prescott,Consumer,United States,Houston,Texas,77070,Central,OFF-BI-10004584,Office Supplies,Binders,GBC ProClick 150 Presentation Binding System, $252.78 ,4,80.00%, $-417.09 ,Loss,February
3460,CA-2021-136448,16/09/2023,18/09/2021,First Class,AS-10090,Adam Shillingsburg,Consumer,United States,Philadelphia,Pennsylvania,19143,East,OFF-BI-10001359,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System, $538.19 ,2,70.00%, $-412.62 ,Loss,September
342,CA-2018-122336,13/04/2020,17/04/2018,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine, $509.97 ,10,70.00%, $-407.98 ,Loss,April
126,US-2018-134614,20/09/2020,25/09/2018,Standard Class,PF-19165,Philip Fox,Consumer,United States,Bloomington,Illinois,61701,Central,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables, $617.70 ,6,50.00%, $-407.68 ,Loss,September
9165,CA-2019-164007,08/06/2021,12/06/2019,Standard Class,MG-17695,Maureen Gnade,Consumer,United States,Chicago,Illinois,60610,Central,OFF-AP-10003849,Office Supplies,Appliances,Hoover Shoulder Vac Commercial Portable Vacuum, $143.13 ,2,80.00%, $-393.60 ,Loss,June
6801,CA-2020-109827,25/12/2022,01/01/2021,Standard Class,LW-16825,Laurel Workman,Corporate,United States,Phoenix,Arizona,85023,West,TEC-MA-10003356,Technology,Machines,Panasonic KX MC6040 Color Laser Multifunction Printer, $269.97 ,2,70.00%, $-386.96 ,Loss,January
1220,US-2021-118087,09/09/2023,13/09/2021,Standard Class,SP-20620,Stefania Perrino,Corporate,United States,Philadelphia,Pennsylvania,19134,East,TEC-PH-10002200,Technology,Phones,Samsung Galaxy Note 2," $1,931.96 ",7,40.00%, $-386.39 ,Loss,September
5785,CA-2021-141117,02/10/2023,08/10/2021,Standard Class,JK-16090,Juliana Krohn,Consumer,United States,Springfield,Oregon,97477,West,FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine, $217.76 ,6,70.00%, $-384.72 ,Loss,October
224,CA-2019-169397,24/12/2021,27/12/2019,First Class,JB-15925,Joni Blumstein,Consumer,United States,Dublin,Ohio,43017,East,TEC-MA-10001148,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder, $479.99 ,4,70.00%, $-383.99 ,Loss,December
4,US-2019-108966,11/10/2021,18/10/2019,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table, $957.58 ,5,45.00%, $-383.03 ,Loss,October
9593,US-2020-105452,28/07/2022,01/08/2020,Standard Class,BF-11005,Barry Franz,Home Office,United States,Pasadena,Texas,77506,Central,FUR-FU-10003806,Furniture,Furnishings,"Tenex Chairmat w/ Average Lip, 45"" x 53""", $302.72 ,5,60.00%, $-378.40 ,Loss,August
7510,US-2021-161935,14/07/2023,18/07/2021,Standard Class,JL-15835,John Lee,Consumer,United States,Columbus,Ohio,43229,East,TEC-PH-10000560,Technology,Phones,Samsung Galaxy S III - 16GB - pebble blue (T-Mobile)," $1,889.95 ",9,40.00%, $-377.99 ,Loss,July
9093,CA-2019-162950,28/06/2021,03/07/2019,Second Class,DW-13585,Dorothy Wardle,Corporate,United States,Troy,Ohio,45373,East,FUR-BO-10001918,Furniture,Bookcases,"Sauder Forest Hills Library with Doors, Woodland Oak Finish", $482.94 ,6,50.00%, $-376.69 ,Loss,July
9674,CA-2020-114867,23/12/2022,28/12/2020,Standard Class,FM-14290,Frank Merwin,Home Office,United States,Philadelphia,Pennsylvania,19143,East,TEC-PH-10002645,Technology,Phones,LG G2," $1,499.97 ",5,40.00%, $-374.99 ,Loss,December
1670,US-2019-157154,10/01/2021,15/01/2019,Standard Class,MM-17920,Michael Moore,Consumer,United States,New York City,New York,10011,East,FUR-TA-10001889,Furniture,Tables,Bush Advantage Collection Racetrack Conference Table," $1,018.10 ",4,40.00%, $-373.30 ,Loss,January
7541,US-2021-112347,02/12/2023,06/12/2021,Standard Class,BS-11380,Bill Stewart,Corporate,United States,Denver,Colorado,80219,West,FUR-BO-10003546,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases, $242.35 ,8,70.00%, $-363.53 ,Loss,December
5012,US-2021-139647,11/05/2023,13/05/2021,First Class,TS-21370,Todd Sumrall,Corporate,United States,Phoenix,Arizona,85023,West,FUR-BO-10004467,Furniture,Bookcases,Bestar Classic Bookcase, $209.98 ,7,70.00%, $-356.96 ,Loss,May
239,CA-2020-157749,04/06/2022,09/06/2020,Second Class,KL-16645,Ken Lonsdale,Consumer,United States,Chicago,Illinois,60610,Central,FUR-FU-10000576,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base, $419.68 ,5,60.00%, $-356.73 ,Loss,June
1439,CA-2019-139731,15/10/2021,15/10/2019,Same Day,JE-15745,Joel Eaton,Consumer,United States,Amarillo,Texas,79109,Central,FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall," $2,453.43 ",5,30.00%, $-350.49 ,Loss,October
4230,CA-2021-100223,05/07/2023,10/07/2021,Standard Class,LS-16945,Linda Southworth,Corporate,United States,Dallas,Texas,75220,Central,FUR-FU-10003601,Furniture,Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting", $332.03 ,9,60.00%, $-348.63 ,Loss,July
2142,CA-2018-159520,06/06/2020,11/06/2018,Standard Class,GT-14635,Grant Thornton,Corporate,United States,Long Beach,New York,11561,East,FUR-TA-10003238,Furniture,Tables,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables", $991.76 ,3,40.00%, $-347.12 ,Loss,June
5630,US-2020-146066,21/08/2022,23/08/2020,Second Class,RB-19465,Rick Bensley,Home Office,United States,Philadelphia,Pennsylvania,19143,East,FUR-TA-10002530,Furniture,Tables,"Iceberg OfficeWorks 42"" Round Tables", $815.29 ,9,40.00%, $-339.71 ,Loss,August
2535,US-2021-117723,15/08/2023,18/08/2021,Second Class,DL-13495,Dionis Lloyd,Corporate,United States,Philadelphia,Pennsylvania,19120,East,OFF-ST-10004459,Office Supplies,Storage,Tennsco Single-Tier Lockers," $1,801.63 ",6,20.00%, $-337.81 ,Loss,August
4056,CA-2018-122931,29/09/2020,03/10/2018,Standard Class,SM-20950,Suzanne McNair,Corporate,United States,Philadelphia,Pennsylvania,19134,East,OFF-ST-10004459,Office Supplies,Storage,Tennsco Single-Tier Lockers," $1,801.63 ",6,20.00%, $-337.81 ,Loss,October
5186,CA-2019-134719,10/10/2021,15/10/2019,Standard Class,JD-15790,John Dryer,Consumer,United States,Jacksonville,Florida,32216,South,OFF-ST-10004459,Office Supplies,Storage,Tennsco Single-Tier Lockers," $1,801.63 ",6,20.00%, $-337.81 ,Loss,October
387,CA-2019-122756,03/12/2021,07/12/2019,Standard Class,DK-13225,Dean Katz,Corporate,United States,Philadelphia,Pennsylvania,19140,East,TEC-MA-10001681,Technology,Machines,Lexmark MarkNet N8150 Wireless Print Server, $482.34 ,4,70.00%, $-337.64 ,Loss,December
1899,CA-2018-169775,29/08/2020,02/09/2018,Second Class,RA-19945,Ryan Akin,Consumer,United States,Miami,Florida,33178,South,OFF-BI-10004390,Office Supplies,Binders,GBC DocuBind 200 Manual Binding Machine, $505.18 ,4,70.00%, $-336.78 ,Loss,September
3142,US-2018-122959,12/12/2020,12/12/2018,Same Day,CY-12745,Craig Yedwab,Corporate,United States,San Antonio,Texas,78207,Central,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine, $210.39 ,2,80.00%, $-336.63 ,Loss,December
1888,CA-2018-140165,13/05/2020,15/05/2018,First Class,EH-14005,Erica Hernandez,Home Office,United States,Hialeah,Florida,33012,South,OFF-BI-10004519,Office Supplies,Binders,GBC DocuBind P100 Manual Binding Machine, $398.35 ,8,70.00%, $-331.96 ,Loss,May
